x,y,pen
891,397,2
892,397,2
893,397,2
894,397,2
895,397,2
888,398,2
889,398,2
896,398,2
897,398,2
898,398,2
899,398,2
900,398,2
901,398,2
902,398,2
903,398,2
904,398,2
905,398,2
906,398,2
907,398,2
908,398,2
909,398,2
914,398,2
915,398,2
919,398,2
920,398,2
921,398,2
922,398,2
923,398,2
924,398,2
886,399,2
887,399,2
904,399,2
910,399,2
911,399,2
912,399,2
913,399,2
916,399,2
917,399,2
918,399,2
925,399,2
926,399,2
884,400,2
885,400,2
902,400,2
903,400,2
919,400,2
920,400,2
927,400,2
928,400,2
882,401,2
883,401,2
901,401,2
902,401,2
920,401,2
921,401,2
929,401,2
930,401,2
880,402,2
881,402,2
900,402,2
901,402,2
921,402,2
922,402,2
931,402,2
932,402,2
878,403,2
879,403,2
899,403,2
900,403,2
922,403,2
923,403,2
933,403,2
877,404,2
899,404,2
923,404,2
934,404,2
935,404,2
875,405,2
876,405,2
898,405,2
924,405,2
936,405,2
937,405,2
874,406,2
898,406,2
924,406,2
938,406,2
939,406,2
897,407,2
925,407,2
940,407,2
897,408,2
925,408,2
941,408,2
897,409,2
925,409,2
942,409,2
897,410,2
925,410,2
926,410,2
943,410,2
870,411,2
896,411,2
926,411,2
944,411,2
871,412,2
896,412,2
926,412,2
945,412,2
946,412,2
872,413,2
896,413,2
926,413,2
947,413,2
872,414,2
897,414,2
925,414,2
926,414,2
948,414,2
873,415,2
897,415,2
925,415,2
949,415,2
874,416,2
897,416,2
925,416,2
950,416,2
875,417,2
897,417,2
925,417,2
951,417,2
876,418,2
898,418,2
924,418,2
952,418,2
877,419,2
878,419,2
898,419,2
924,419,2
952,419,2
879,420,2
899,420,2
923,420,2
924,420,2
953,420,2
880,421,2
899,421,2
